authors,description,hash,isbn10,isbn13,publication_date,site,tags,title,url,year
['Anthony Williams'],,da1134f9ff8235e8dfca4b34b30a1aee39b87e39acaf158cf9022d725f530e52,1617294691,978-1617294693,"February 10, 2019",amazon,"['Parallel Computer Programming', 'C Programming Language', 'C++ Programming Language']",C++ Concurrency in Action,https://www.amazon.com/dp/1617294691,2019
"['Praseed Pai', 'Peter Abraham']",,84741cb1961dc4700e6e7449a0c7e0313d13243537a5e3f4cc102c4436f43a93,1788629779,978-1788629775,"June 29, 2018",amazon,['Microsoft Programming'],C++ Reactive Programming,https://www.amazon.com/dp/1788629779,2018
"['Maurice Herlihy', 'Nir Shavit', 'Victor Luchangco']","The Art of Multiprocessor Programming, Second Edition, provides users with an authoritative guide to multicore programming. This updated edition introduces higher level software development skills relative to those needed for efficient single-core programming, and includes comprehensive coverage of the new principles, algorithms, and tools necessary for effective multiprocessor programming. The book is an ideal resource for students and professionals alike who will benefit from its thorough coverage of key multiprocessor programming issues.
Features new exercises developed for instructors using the text, with more algorithms, new examples, and other updates throughout the book
Presents the fundamentals of programming multiple threads for accessing shared memory
Explores mainstream concurrent data structures and the key elements of their design, as well as synchronization techniques, from simple locks to transactional memory systems
Read more",c86d847230dee982130b66bc6f56a8b4f97ef02b22ddd5cfc04d4b93289c7f50,9780124159501,978-0124159501,"October 27, 2020",amazon,"['Software Design & Engineering', 'Software Development', 'Microsoft Programming']",The Art of Multiprocessor Programming,https://www.amazon.com/dp/0124159508,2020
"['Rainer Grimm', 'Beatrix Jaud-Grimm']","C++11 is the first C++ standard that deals with concurrency. The story goes on with C++17, C++20, and will continue with C++23. I'll give you a detailed insight into the current and the upcoming concurrency in C++. This insight includes the theory and a lot of practice.

C++11 and C++14 have the basic building blocks for creating concurrent or parallel programs.
With C++17, we got the parallel algorithms of the Standard Template Library (STL). That means most of the algorithms of the STL can be executed sequentially, in parallel, or vectorized.
The concurrency story in C++ goes on. With C++20, we got coroutines, atomic smart pointers, semaphores, latches, and barriers.
C++23 supports the first concrete coroutine: std::generator.
With future C++ standards, we can hope for executors, extended futures, transactional memory, and more.
Read more",0377ca3e099c32e4cad7cca4ea71e8fca472f2a1ae0ce8962561caa5f9848fc0,,979-8873420933,"January 20, 2024",amazon,['C++ Programming Language'],Concurrency with Modern C++: What every professional C++ programmer should know about concurrency.,https://www.amazon.com/dp/B0CT41Q1FF,2024
"['Randal Bryant', ""David O'Hallaron""]",,d538b29d8b4a5f48f2bca696ab0d86aeb590aa3a0eea3742b2414250966fabc2,013409266X,978-0134092669,"March 2, 2015",amazon,['Computer Science'],Computer Systems: A Programmer's Perspective,https://www.amazon.com/dp/013409266X,2015
"['Bertil Schmidt Ph.D.', 'Jorge Álvaro Gonzalez-Martinez MD PhD', 'Christian Hundt']","Parallel Programming: Concepts and Practice provides an upper level introduction to parallel programming. In addition to covering general parallelism concepts, this text teaches practical programming skills for both shared memory and distributed memory architectures. The authors’ open-source system for automated code evaluation provides easy access to parallel computing resources, making the book particularly suitable for classroom settings.

Covers parallel programming approaches for single computer nodes and HPC clusters: OpenMP, multithreading, SIMD vectorization, MPI, UPC++
Contains numerous practical parallel programming exercises
Includes access to an automated code evaluation tool that enables students the opportunity to program in a web browser and receive immediate feedback on the result validity of their program
Features an example-based teaching of concept to enhance learning outcomes
Read more",13605062a95d0e9146b0df7e327960742f59d3173c144afc8284c56be9864a8e,9780128498903,978-0128498903,"November 27, 2017",amazon,"['Parallel Computer Programming', 'Information Theory', 'Computer Algorithms']",Parallel Programming: Concepts and Practice,https://www.amazon.com/dp/0128498900,2017
['Dmytro Kedyk'],"Programmers use algorithms and data structures all the time, usually through numerous available APIs. Ideally an algorithm is correct, easy to understand, applicable to many problems, efficient, and free of intellectual property claims. This book covers algorithms and data structures learned in an algorithms class and many that aren't, including statistical algorithms, external memory algorithms, numerical methods, optimization, string algorithms, and data compression.

About a fourth of the book is devoted to machine learning. There is much more theory than in the rest of the book because in machine learning relevant theory is more practical than algorithms. New learning algorithms are proposed often, and it's easy to get lost without understanding how learning actually works. In particular, getting comfortable with the concept of estimation error substantially improves the ability to reason about statistical algorithms.

Another fourth is about numerical algorithms. Separate chapters cover matrix algorithms (such as eigenvalue calculation for spectral clustering), working with functions (integration, root finding, etc.), and optimization (both continuous and convex).

Expect to learn something new in every chapter. Many topics appear only in specialized books and papers, including collections of random number generators and hash functions for various use cases, priority queues that allow random access for applications like Djikstra's shortest path algorithm, the simplex method for linear programming, efficient dictionaries for variable-length keys, Monte Carlo and bootstrap methods for statistical computing, top-performing learning algorithms such as random forest, etc. One of the goals of the book is answering all questions you might have had since taking an algorithms class.

Algorithm descriptions have tested C++ code, illustrations, performance analysis, and suggestions for optimizations and extensions. Still, the book is advanced, requiring some algorithmic maturity. After working through it, you will know more about algorithms and machine learning than before, even if you are already an expert. This is the book the author wishes he had when he started studying algorithms.

Read more",b7765ed058b78d391d2b8e34809eaa14902284aef2658eab826053314a795f2c,,979-8605325307,"December 8, 2020",amazon,"['Programming Algorithms', 'Mathematical Analysis', 'Mathematics']",Implementing Useful Algorithms in C++,https://www.amazon.com/dp/B08PXHJCXY,2020
"['Robert Sedgewick', 'Peter Gordon']","Software developers and computer scientists have eagerly awaited this comprehensive revision of Robert Sedgewick's landmark texts on algorithms for C++. Sedgewick has completely revamped all five sections, illuminating today's best algorithms for an exceptionally wide range of tasks. This shrink-wrapped package brings together Algorithms in C++, Third Edition, Parts 1-4 and his new Algorithms in C++, Third Edition, Part 5. Together, these books are the most definitive, up-to-date, and practical algorithms resource available. The first book introduces fundamental concepts associated with algorithms; then covers data structures, sorting, and searching. The second book focuses entirely on graphing algorithms, which are critical for a wide range of applications, including network connectivity, circuit design, scheduling, transaction processing, and resource allocation. Sedgewick focuses on practical applications, giving readers all the information, diagrams, and real (not pseudo-) code they need to confidently implement, debug, and use the algorithms he presents. Together, these books present nearly 2,000 new exercises, hundreds of new figures, and dozens of new programs.

Read more",4872bb2793b7771185ad6bcd13392c46793a2a163f5d8a6881fcd27869f59eec,020172684X,978-0201726848,"December 28, 2001",amazon,[],"Bundle of Algorithms in C++, Parts 1-5: Fundamentals, Data Structures, Sorting, Searching, and Graph Algorithms",https://www.amazon.com/dp/020172684X,2001
"['Michael T. Goodrich', 'Roberto Tamassia', 'David M. Mount']","This second edition of Data Structures and Algorithms in C++ is designed to provide an introduction to data structures and algorithms, including their design, analysis, and implementation. The authors offer an introduction to object-oriented design with C++ and design patterns, including the use of class inheritance and generic programming through class and function templates, and retain a consistent object-oriented viewpoint throughout the book.

This is a “sister” book to Goodrich & Tamassia’s Data Structures and Algorithms in Java, but uses C++ as the basis language instead of Java. This C++ version retains the same pedagogical approach and general structure as the Java version so schools that teach data structures in both C++ and Java can share the same core syllabus.

In terms of curricula based on the IEEE/ACM 2001 Computing Curriculum, this book is appropriate for use in the courses CS102 (I/O/B versions), CS103 (I/O/B versions), CS111 (A version), and CS112 (A/I/O/F/H versions).

Read more",df3d24a407d9fdb35e0851c497d7fddc3eee9b64647a279b0547715ab5fe9a4e,0470383275,978-0470383278,"February 22, 2011",amazon,"['Data Structure and Algorithms', 'C++ Programming Language', 'Computer Programming Languages']",Data Structures and Algorithms in C++,https://www.amazon.com/dp/0470383275,2011
['Mark Weiss'],"Data Structures and Algorithm Analysis in C++ is an advanced algorithms book that bridges the gap between traditional CS2 and Algorithms Analysis courses.


As the speed and power of computers increases, so does the need for effective programming and algorithm analysis. By approaching these skills in tandem, Mark Allen Weiss teaches readers to develop well-constructed, maximally efficient programs using the C++ programming language.

This book explains topics from binary heaps to sorting to NP-completeness, and dedicates a full chapter to amortized analysis and advanced data structures and their implementation. Figures and examples illustrating successive stages of algorithms contribute to Weiss’ careful, rigorous and in-depth analysis of each type of algorithm.

Read more",c6d25cdbedb799b78280d9fcbd56b635ba0a96ec39f287ef8c16158b18bf5b4c,013284737X,978-0132847377,"June 13, 2013",amazon,"['Computer Programming Structured Design', 'C++ Programming Language', 'Computer Systems Analysis & Design']",Data Structures & Algorithm Analysis in C++,https://www.amazon.com/dp/013284737X,2013
['Henry Warren'],"In Hacker’s Delight, Second Edition, Hank Warren once again compiles an irresistible collection of programming hacks: timesaving techniques, algorithms, and tricks that help programmers build more elegant and efficient software, while also gaining deeper insights into their craft. Warren’s hacks are eminently practical, but they’re also intrinsically interesting, and sometimes unexpected, much like the solution to a great puzzle. They are, in a word, a delight to any programmer who is excited by the opportunity to improve.





Extensive additions in this edition include

A new chapter on cyclic redundancy checking (CRC), including routines for the commonly used CRC-32 code
A new chapter on error correcting codes (ECC), including routines for the Hamming code
More coverage of integer division by constants, including methods using only shifts and adds
Computing remainders without computing a quotient
More coverage of population count and counting leading zeros
Array population count
New algorithms for compress and expand
An LRU algorithm
Floating-point to/from integer conversions
Approximate floating-point reciprocal square root routine
A gallery of graphs of discrete functions
Now with exercises and answers .

Read more",1a083c4123b262f58427c7eb5fc4196ad413274353c66c707112fb84510edadc,0321842685,978-0321842688,"September 25, 2012",amazon,"['Computer Algorithms', 'Programming Algorithms', 'Computer Hacking']",Hacker's Delight,https://www.amazon.com/dp/0321842685,2012
"['Adnan Aziz', 'Tsung-Hsien Lee', 'Amit Prakash']","This is the C++ version of our book. See the website for links to the Java version, as well as to a version that uses larger fonts. Have you ever...

Wanted to work at an exciting futuristic company?
Struggled with an interview problem that could have been solved in 15 minutes?
Wished you could study real-world computing problems?

If so, you need to read Elements of Programming Interviews (EPI).

EPI is your comprehensive guide to interviewing for software development roles.

The core of EPI is a collection of over 250 problems with detailed solutions. The problems are representative of interview questions asked at leading software companies. The problems are illustrated with 200 figures, 300 tested programs, and 150 additional variants.

The book begins with a summary of the nontechnical aspects of interviewing, such as strategies for a great interview, common mistakes, perspectives from the other side of the table, tips on negotiating the best offer, and a guide to the best ways to use EPI. We also provide a summary of data structures, algorithms, and problem solving patterns.

Coding problems are presented through a series of chapters on basic and advanced data structures, searching, sorting, algorithm design principles, and concurrency. Each chapter stars with a brief introduction, a case study, top tips, and a review of the most important library methods. This is followed by a broad and thought-provoking set of problems.

A practical, fun approach to computer science fundamentals, as seen through the lens of common programming interview questions.
Jeff Atwood/Co-founder, Stack Overflow and Discourse

Read more",c986176888dc575e9d7b429e79166987d3be696b2a3161d5db0ce60034dc39bf,1479274836,978-1479274833,"October 11, 2012",amazon,"['Discrete Mathematics', 'C++ Programming Language', 'Computer Software']",Elements of Programming Interviews: The Insiders' Guide,https://www.amazon.com/dp/1479274836,2012
"['Paul Deitel', 'Harvey Deitel']","In C++11 for Programmers, the Deitels bring their proven Live Code approach to teaching today’s powerful new version of the C++ language. Like all Deitel Developer titles, they teach the best way possible: via hundreds of complete example C++ programs, with thousands of lines of downloadable C++ source code.

Unlike other C++11 books, this guide teaches robust, best-practice coding practices that fully support the CERT® Coordination Center’s authoritative secure coding standards. To help you write programs that are even more secure, the Deitels also introduce C++11’s new non-deterministic random-number generation capabilities. Using all these techniques, you can write industrial-strength C+11 code that stands up to attacks from viruses, worms, and other forms of malware.

Ideal for anyone who’s worked with at least one programming language before, C++11 for Programmers utilizes a proven “early objects” approach, emphasizing program clarity, software reuse, and component-oriented software construction. In addition to the core language, it will help you take advantage of the newest standard libraries and the newest language extensions. Coverage includes many new C++11 features, including smart pointers, regular expressions, shared_ptr and weak_ptr, and more.

This book contains 240 complete C++11 programs (more than 15,000 lines of downloadable code). All code has been thoroughly tested on three popular industrial-strength C++11 compilers: GNU C++ 4.7, Microsoft® Visual C++® 2012, and Apple® LLVM in Xcode® 4.5.

Read more",b06b893e0a67ccc77bff48ac5dab7304a8335030c5372bad1f600f5f13297dc4,0133439852,978-0133439854,"January 1, 2014",amazon,"['C# Programming', 'C++ Programming Language', 'Computer Programming Languages']",C++11 for Programmers (Deitel Developer),https://www.amazon.com/dp/0133439852,2014
['Scott Meyers'],"Coming to grips with C++11 and C++14 is more than a matter of familiarizing yourself with the features they introduce (e.g., auto type declarations, move semantics, lambda expressions, and concurrency support). The challenge is learning to use those features effectively―so that your software is correct, efficient, maintainable, and portable. That’s where this practical book comes in. It describes how to write truly great software using C++11 and C++14―i.e. using modern C++.

Topics include:

The pros and cons of braced initialization, noexcept specifications, perfect forwarding, and smart pointer make functions
The relationships among std::move, std::forward, rvalue references, and universal references
Techniques for writing clear, correct, effective lambda expressions
How std::atomic differs from volatile, how each should be used, and how they relate to C++'s concurrency API
How best practices in ""old"" C++ programming (i.e., C++98) require revision for software development in modern C++

Effective Modern C++ follows the proven guideline-based, example-driven format of Scott Meyers' earlier books, but covers entirely new material.

""After I learned the C++ basics, I then learned how to use C++ in production code from Meyer's series of Effective C++ books. Effective Modern C++ is the most important how-to book for advice on key guidelines, styles, and idioms to use modern C++ effectively and well. Don't own it yet? Buy this one. Now"".

-- Herb Sutter, Chair of ISO C++ Standards Committee and C++ Software Architect at Microsoft

Read more",c81e618e5c650fdf7593c4412ab1f55777fadd1df5cfea0c4bfe23ef91de99fa,9781491903995,978-1491903995,"December 30, 2014",amazon,"['C Programming Language', 'C++ Programming Language', 'Software Development']",Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14,https://www.amazon.com/dp/1491903996,2014
['Jacek Galowicz'],,cac668808dd432c8b0b14ea6ce9411330850856bea57f49c931ae3cd12d2b9d0,,,"June 28, 2017",amazon,"['Functional Software Programming', 'C++ Programming', 'C++ Programming Language']",C++17 STL Cookbook: Discover the latest enhancements to functional programming and lambda expressions,https://www.amazon.com/dp/B01MTSADN8,2017
['Marius Bancila'],,d89c8a2b10f5847b17d3c7d2ad3260eb9f297c2caa0e5e016f42648d2d44bc5a,1788993861,978-1788993869,"May 24, 2018",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Microsoft Programming']",The Modern C++ Challenge: Become an expert programmer by solving real-world problems,https://www.amazon.com/dp/1788993861,2018
['Bartlomiej Filipek'],"This book shows the story of lambda expressions in C++. You’ll learn how to use this powerful feature in a step-by-step manner, slowly digesting the new capabilities and enhancements that come with each revision of the C++ Standard.

This is a Black and White version. The full-colour print is also available - look for ""C++ Lambda Story (Full Color)"".

We’ll start with C++98/03, and then we’ll move on to the latest C++ Standards.

C++98/03 - how to code without lambda support. What was the motivation for the new modern C++ feature?
C++11 - early days. You’ll learn about all the elements of a lambda expression and even some tricks. This is the longest chapter as we need to cover a lot.
C++14 - updates. Once lambdas were adopted, we saw some options to improve them.
C++17 - more improvements, especially by handling this pointer and allowing constexpr.
C++20 - in this section we’ll have a look at the latest and very fresh C++20 Standard.
Additionally, throughout the chapters, you’ll learn about the following techniques:
Immediately Invoked Functional Expressions (IIFE)
How to instrument a default functor to gather extra information
Replacing std::bind1st, std::bind2nd and removed functional stuff
The Overloaded Pattern and how to inherit from a lambda
Passing C++ captureless lambda as a function pointer to C API
LIFTING with lambdas
Storing lambdas in a container
Variadic templates and arguments packs
Lambdas and asynchronous execution
and many more

All equipped with more than 85 runnable code samples!

Read more",cf7627da3561dd393b1af1f747be5057a9c9a545fd6b88a1f5bf31872ac1c76a,,979-8590126835,"February 1, 2021",amazon,"['C++ Programming Language', 'Microsoft Programming']",C++ Lambda Story: Everything you need to know about Lambda Expressions in Modern C++! (C++ Stories),https://www.amazon.com/dp/B08VLM1R76,2021
['Marius Bancila'],,e218f6ae9854b1580b2e0efa0c8e64fadabf56c3c95f8993c0c5f216adc99e74,1800208987,978-1800208988,"September 11, 2020",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Software Development']","Modern C++ Programming Cookbook: Master C++ core language and standard library features, with over 100 recipes, updated to C++20, 2nd Edition",https://www.amazon.com/dp/1800208987,2020
['Ray Lischner'],"Discover everything you need to know about C++ in a logical progression of small lessons that you can work through as quickly or as slowly as you need. This book divides C++ up into bite-sized chunks that will help you learn the language one step at a time. Fully updated to include C++20, it assumes no familiarity with C++ or any other C-based language.

Exploring C++20acknowledges that C++ can be a complicated language, so rather than baffle you with complex chapters explaining functions, classes, and statements in isolation you’ll focus on how to achieve results. By learning a little bit of this and a little of that you’ll soon have amassed enough knowledge to be writing non-trivial programs and will have built a solid foundation of experience that puts those previously baffling concepts into context.

In this fully-revised third edition of Exploring C++, you’ll learn how to use the standard library early in the book. Next, you’ll work with operators, objects, and data-sources in increasingly realistic situations. Finally, you’ll start putting the pieces together to create sophisticated programs of your own design confident that you’ve built a firm base of experience from which to grow.

What You Will Learn

Grasp the basics, including compound statements, modules, and more
Work with custom types and see how to use them
Write useful algorithms, functions, and more
Discover the latest C++ 20 features, including concepts, modules, and ranges

Apply your skills to projects that include a fixed-point numbers and body-mass index applications
Carry out generic programming and apply it in a practical project
Exploit multiple inheritance, traits/policies, overloaded functions, and metaprogramming

Who This Book Is For

Experienced programmers who may have little or no experience with C++ who want an accelerated learning guide to C++20 so they can hit the ground running.

Read more",c059fa68351037391cdc83f09c7e39b865056a7f9e2f54d5a5d74b1e8c1c7feb,1484259602,978-1484259603,"August 28, 2020",amazon,"['Compiler Design', 'Software Programming Compilers', 'Object-Oriented Design']",Exploring C++20: The Programmer's Introduction to C++,https://www.amazon.com/dp/1484259602,2020
['Anais Sutherland'],"""C++ Programming Cookbook"" stands out as a clear, concise, and powerful technical resource for programmers who want to master C++'s intricacies. C++ programmers face a wide variety of problems, and this carefully written book is a treasure trove of solutions and methods to those software development challenges.

Each chapter is organized to help you get a good grasp of the language and everything it can do, from the basics of C++20 to more complex topics like sophisticated type manipulation and performance optimization. Through a series of carefully curated recipes, readers are invited on a journey of learning and competency. Starting with the fundamentals of creating a development environment and comprehending C++ syntax, the book progresses to cover more advanced subjects like concurrency, memory management, file I/O operations, object-oriented design concepts, functional programming, and more. This book focuses on the latest C++ features and aims to get programmers to use idiomatic C++ patterns and modern best practices.

""C++ Programming Cookbook"" goes beyond being a mere collection of recipes; it serves as a manifesto for progressive software development practices and problem-solving. Readers are empowered to adapt and apply their learnings to new, unexplored situations because each recipe not only solves specific problems but also exposes fundamental ideas and methodologies. Writing code that is clean, efficient, and easy to maintain is a priority throughout the book, which aims to help readers develop a skill set that is applicable to more general programming problems.

Key Learnings
Make use of C++20 features to write more expressive, efficient, and modern C++ code effortlessly.
Utilize template metaprogramming for compile-time calculations, enhancing code performance.
Implement smart pointers for robust memory management without the usual complexity.
Put object-oriented programming principles into use to design scalable and maintainable C++ applications.
Explore advanced type manipulation techniques, ensuring type-safe and flexible code across applications.
Harness concurrency and multithreading to build high-performance, responsive C++ software solutions.
Optimize file I/O operations for seamless data handling in text and binary formats.
Implement custom stream buffers for tailored data processing, boosting I/O efficiency.
Navigate stream locales and facets for internationalizing your applications, reaching a global audience.
Uncover efficient error and exception handling strategies to build reliable and error-free C++ program.
Table of Content
Getting Started with C++20
Deep Dive into Functions
Object-Oriented Programming In Action
Effective use of STL
Exploring Advanced C++ Functionalities
Effective Error Handling and Debugging
Concurrency and Multithreading
Performance and Memory Management
Advanced Type Manipulation
File I/O and Streams Operations
Read more",9337a2f13f89516f7d9a57315782d892b559a426d3c605ecd9c6a3bbf4401a3e,,,"March 17, 2024",amazon,"['Memory Management Algorithms', 'Computer Programming Debugging', 'Object Oriented Design']","C++ Programming Cookbook: Proven solutions using C++ 20 across functions, file I/O, streams, memory management, STL, concurrency, type manipulation and error debugging",https://www.amazon.com/dp/B0CYCV5748,2024
['Marius Bancila'],,78574c6c270feefd106f50f3f9ae4452884b90f1a34c4c7370bdc49b3c8d1806,1835080545,978-1835080542,"February 29, 2024",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Software Development']",Modern C++ Programming Cookbook: Master Modern C++ with comprehensive solutions for C++23 and all previous standards,https://www.amazon.com/dp/1835080545,2024
['Fedor G. Pikus'],,2c7283ac734a33c4ff054b1f3201551a700ad4b536994b7cc32e7188db649a98,1804611557,978-1804611555,"July 21, 2023",amazon,"['Computer Operating Systems', 'Operating Systems', 'Computer Hardware & DIY']","Hands-On Design Patterns with C++: Solve common C++ problems with modern design patterns and build robust applications, 2nd Edition",https://www.amazon.com/dp/1804611557,2023
['Dmitri Nesteruk'],"Apply modern C++17 to the implementations of classic design patterns. As well as covering traditional design patterns, this book fleshes out new patterns and approaches that will be useful to C++ developers. The author presents concepts as a fun investigation of how problems can be solved in different ways, along the way using varying degrees of technical sophistication and explaining different sorts of trade-offs.Design Patterns in Modern C++ also provides a technology demo for modern C++, showcasing how some of its latest features (e.g., coroutines) make difficult problems a lot easier to solve. The examples in this book are all suitable for putting into production, with only a few simplifications made in order to aid readability.What You Will LearnApply design patterns to modern C++ programmingUse creational patterns of builder, factories, prototype and singletonImplement structural patterns such as adapter, bridge, decorator, facade and moreWork with the behavioral patterns such as chain of responsibility, command, iterator, mediator and moreApply functional design patterns such as Monad and moreWho This Book Is ForThose with at least some prior programming experience, especially in C++.
Read more",97a43e9ed55b515d3402156044e129bf01ca3cc9aec9b8f1a5928f97a51ed03e,9781484236024,978-1484236024,"January 1, 2018",amazon,[],Design Patterns in Modern C++: Reusable Approaches for Object-Oriented Software Design,https://www.amazon.com/dp/1484236025,2018
"['John Debbie Lafferty', 'John Lakos', 'John Fuller']","Writing reliable and maintainable C++ software is hard. Designing such software at scale adds a new set of challenges. Creating large-scale systems requires a practical understanding of logical design ― beyond the theoretical concepts addressed in most popular texts. To be successful on an enterprise scale, developers must also address physical design, a dimension of software engineering that may be unfamiliar even to expert developers. Drawing on over 30 years of hands-on experience building massive, mission-critical enterprise systems, John Lakos shows how to create and grow Software Capital. This groundbreaking volume lays the foundation for projects of all sizes and demonstrates the processes, methods, techniques, and tools needed for successful real-world, large-scale development.
Up to date and with a solid engineering focus, Large-Scale C++, Volume I: Process and Architecture, demonstrates fundamental design concepts with concrete examples. Professional developers of all experience levels will gain insights that transform their approach to design and development by understanding how to


Raise productivity by leveraging differences between infrastructure and application development
Achieve exponential productivity gains through feedback and hierarchical reuse
Embrace the component’s role as the fundamental unit of both logical and physical design
Analyze how fundamental properties of compiling and linking affect component design
Discover effective partitioning of logical content in appropriately sized physical aggregates
Internalize the important differences among sufficient, complete, minimal, and primitive software
Deliver solutions that simultaneously optimize encapsulation, stability, and performance
Exploit the nine established levelization techniques to avoid cyclic physical dependencies
Use lateral designs judiciously to avoid the “heaviness” of conventional layered architectures
Employ appropriate architectural insulation techniques for eliminating compile-time coupling
Master the multidimensional process of designing large systems using component-based methods

This is the first of John Lakos’s three authoritative volumes on developing large-scale systems using C++. This book, written for fellow software practitioners, uses familiar C++ constructs to solve real-world problems while identifying (and motivating) modern C++ alternatives. Together with the forthcoming Volume II: Design and Implementation and Volume III: Verification and Testing, Large-Scale C++ offers comprehensive guidance for all aspects of large-scale C++ software development. If you are an architect or project leader, this book will empower you to solve critically important problems right now ― and serve as your go-to reference for years to come.


Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details.


Read more",136b67a9dee6bc42410d98b4770705e41f4e24cca2622c2cd0ca042960a4bf92,0201717069,978-0201717068,"December 17, 2019",amazon,"['C++ Programming Language', 'Software Development', 'Computer Software']","Large-Scale C++: Process and Architecture, Volume 1 (Addison-Wesley Professional Computing Series)",https://www.amazon.com/dp/0201717069,2019
['John Lakos'],"Designing scalable software in C++ requires more than just a sound understanding of logical design. Senior developers, architects, and project leaders need a grasp of high-level physical design concepts that even many software experts have never explored. In Large-Scale C++ Volume Process and Architecture, John Lakos takes a practitioner's view of modern large-scale software development, helping experienced professionals apply architectural-level physical design concepts in their everyday work. Lakos teaches critical concepts clearly and concisely, with new high-value examples. Up to date and modular, Large-Scale C++ Volume I is designed to help you solve problems right now, and serve as an appealing reference for years to come.
Read more",e8d0c37c7922032a59ee0c08ee00cc39a3a5189f523a6b9a390fd25bfb5d6d6c,0134694694,978-0134694696,"March 14, 2021",amazon,[],Large-Scale C++ Volume II: Design and Implementation (Addison-Wesley Professional Computing Series),https://www.amazon.com/dp/0134694694,2021
['Martin Reddy'],"API Design for C++ provides a comprehensive discussion of Application Programming Interface (API) development, from initial design through implementation, testing, documentation, release, versioning, maintenance, and deprecation. It is the only book that teaches the strategies of C++ API development, including interface design, versioning, scripting, and plug-in extensibility. Drawing from the author's experience on large scale, collaborative software projects, the text offers practical techniques of API design that produce robust code for the long term. It presents patterns and practices that provide real value to individual developers as well as organizations. API Design for C++ explores often overlooked issues, both technical and non-technical, contributing to successful design decisions that product high quality, robust, and long-lived APIs. It focuses on various API styles and patterns that will allow you to produce elegant and durable libraries. A discussion on testing strategies concentrates on automated API testing techniques rather than attempting to include end-user application testing techniques such as GUI testing, system testing, or manual testing. Each concept is illustrated with extensive C++ code examples, and fully functional examples and working source code for experimentation are available online. This book will be helpful to new programmers who understand the fundamentals of C++ and who want to advance their design skills, as well as to senior engineers and software architects seeking to gain new expertise to complement their existing talents. Three specific groups of readers are targeted: practicing software engineers and architects, technical managers, and students and educators.
- The only book that teaches the strategies of C++ API development, including design, versioning, documentation, testing, scripting, and extensibility
- Extensive code examples illustrate each concept, with fully functional examples and working source code for experimentation available online
- Covers various API styles and patterns with a focus on practical and efficient designs for large-scale long-term projects
Read more",65f56fb4e62472be6c4c65784c26b358c71ed1592995828873bb046d1810b118,,,"March 14, 2011",amazon,"['Computer Engineering', 'Object-Oriented Design', 'Software Development']",API Design for C++,https://www.amazon.com/dp/B004NNUZ6O/,2011
['Ronald Mak'],,d002b11ac80b53e21b5bea0108348fa0055ff3d0409adac2d3cc04d654dd4a41,163343950X,978-1633439504,"June 18, 2024",amazon,"['C++ Programming Language', 'Object-Oriented Design', 'Software Development']",Object-Oriented Software Design in C++,https://www.amazon.com/dp/163343950X/,2024
['Klaus Iglberger'],"Good software design is essential for the success of your project, but designing software is hard to do. You need to have a deep understanding of the consequences of design decisions and a good overview of available design alternatives. With this book, experienced C++ developers will get a thorough, practical, and unparalleled overview of software design with this modern language.

C++ trainer and consultant Klaus Iglberger explains how you can manage dependencies and abstractions, improve changeability and extensibility of software entities, and apply and implement modern design patterns to help you take advantage of today's possibilities. Software design is the most essential aspect of a software project because it impacts the software's most important properties: maintainability, changeability, and extensibility.

Learn how to evaluate your code with respect to software design
Understand what software design is, including design goals such as changeability and extensibility
Explore the advantages and disadvantages of each design approach
Learn how design patterns help solve problems and express intent
Choose the right form of a design pattern to get the most out of its advantages

Read more",ba1f2f0218e4d225c39e687621ad1c9b1728cd6e23c0ea555d08303711ffacae,1098113160,978-1098113162,"October 25, 2022",amazon,"['C++ Programming Language', 'Object-Oriented Design', 'Software Development']",C++ Software Design: Design Principles and Patterns for High-Quality Software,https://www.amazon.com/dp/1098113160,2022
['Lee Zhi Eng'],,67ef432ce0271b64fc50300c9f6bdb78388212a41b370208ce8487ece8be9730,1805122630,978-1805122630,"April 12, 2024",amazon,"['Cross-platform Software Development', 'C++ Programming Language', 'Mobile App Development & Programming']","Qt 6 C++ GUI Programming Cookbook: Practical recipes for building cross-platform GUI applications, widgets, and animations with Qt 6",https://www.amazon.com/dp/1805122630,2024
